kind,title,source_record,file_url,local_file,bytes,status
legislation,"Regulation on the requirements for publication of information by banks, approved by the Decision of the Executive Board of the National Bank of Moldova, No. 158 of 9 July 2020",https://www.bnm.md/en/content/regulation-requirements-publication-information-banks-approved-decision-executive-board,https://www.bnm.md/files/EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\056__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,1094805,downloaded
legislation,"Regulation on the requirements for publication of information by banks, approved by the Decision of the Executive Board of the National Bank of Moldova, No. 158 of 9 July 2020",https://www.bnm.md/en/content/regulation-requirements-publication-information-banks-approved-decision-executive-board,https://www.bnm.md/files/EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\057__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.docx,189713,downloaded
legislation,"Regulation on outsourcing the bank's activities and operations, approved by Decision of the Executive Board of the National Bank of Moldova no.46 of February 26, 2020",https://www.bnm.md/en/content/regulamentul-privind-externalizarea-activitatilor-si-operatiunilor-bancii-aprobat-prin,https://www.bnm.md/files/REG_046_EN_08_12_21.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\058__REG_046_EN_08_12_21.pdf,320161,already_downloaded
legislation,"Regulation on outsourcing the bank's activities and operations, approved by Decision of the Executive Board of the National Bank of Moldova no.46 of February 26, 2020",https://www.bnm.md/en/content/regulamentul-privind-externalizarea-activitatilor-si-operatiunilor-bancii-aprobat-prin,https://www.bnm.md/files/REG_046_EN_08_12_21_1.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\059__REG_046_EN_08_12_21_1.doc,142848,already_downloaded
legislation,"Regulation on Banks' Transactions with Their Related Parties, approved by the DCA of the NBM no. 240 from December 9, 2013",https://www.bnm.md/en/content/regulation-large-exposures-approved-dca-nbm-no-240-december-9-2013,https://www.bnm.md/files/Regulamentul 240_2013 l engl_2.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\060__Regulamentul 240_2013 l engl_2.pdf,588294,downloaded
legislation,"Regulation on Banks' Transactions with Their Related Parties, approved by the DCA of the NBM no. 240 from December 9, 2013",https://www.bnm.md/en/content/regulation-large-exposures-approved-dca-nbm-no-240-december-9-2013,https://www.bnm.md/files/Regulamentul 240_2013 l engl.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\061__Regulamentul 240_2013 l engl.doc,130048,downloaded
legislation,"Regulation on Large Exposures, approved by Decision of the Executive Board of the National Bank of Moldova no.109 of April 5, 2019 (in force as of 19.06.2019)",https://www.bnm.md/en/content/regulation-large-exposures-approved-decision-council-administration-national-bank-moldova,https://www.bnm.md/files/Regulament_109_2019_expuneri mari_eng_1.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\062__Regulament_109_2019_expuneri mari_eng_1.pdf,678090,downloaded
legislation,"Regulation on Large Exposures, approved by Decision of the Executive Board of the National Bank of Moldova no.109 of April 5, 2019 (in force as of 19.06.2019)",https://www.bnm.md/en/content/regulation-large-exposures-approved-decision-council-administration-national-bank-moldova,https://www.bnm.md/files/Regulament_109_2019_expuneri mari_eng_1.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\063__Regulament_109_2019_expuneri mari_eng_1.doc,391680,downloaded
legislation,"Regulation on Branches and Secondary Offices of Banks, Decision of the NBM No 147 of 17.05.2019",https://www.bnm.md/en/content/regulation-branches-and-secondary-offices-banks-no147-17052019,https://www.bnm.md/files/Reg_195_EN_1.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\064__Reg_195_EN_1.pdf,451209,already_downloaded
legislation,"Regulation on Branches and Secondary Offices of Banks, Decision of the NBM No 147 of 17.05.2019",https://www.bnm.md/en/content/regulation-branches-and-secondary-offices-banks-no147-17052019,https://www.bnm.md/files/Reg_195_EN_1.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\065__Reg_195_EN_1.doc,86016,already_downloaded
